Site,Serial Number,Password,Port
CAR-007,06-02294,27595-95125,4
CAR-059,06-02351,62309-48404,4
CAR-059G,06-02193,73865-64389,4
CAR-070,06-02245,89211-11784,4
CAR-070E,06-02206,78131-03958,4
CAR-072,06-02301,61049-60776,4
CAR-072C,06-02127,63599-01736,4
CAR-072O,06-02246,70870-65036,4
CAR-072Q,06-02223,20346-98610,4
CAR-072R,06-02337,39472-25598,4
SDG-072,06-02290,54116-06172,4
SDG-072A,06-02349,70024-21417,4
SDG-084,06-02212,17400-60998,4
SDG-084J,06-02225,86271-24221,4
SDG-085,06-02293,41915-09910,4
SDG-085G,06-02224,57108-67925,4
SDG-085M,06-02235,82312-84588,4
SDG-287,06-02299,,5
SDR-036,06-02199,46163-17782,4
SDR-041,06-02205,08967-65809,4
SDR-064,06-02237,35170-85097,4
SDR-064A,06-02287,51668-48594,4
SDR-064B,06-02298,62212-33884,4
SDR-064C,06-02207,72699-42675,4
SDR-064D,06-02284,99408-85941,4
SDR-098,06-02203,52947-86758,4
SDR-127,06-02204,51884-79220,4
SDR-127B,06-02296,86107-90041,4
SDR-130,06-02198,47133-55472,4
SDR-203A,06-02255,51463-34976,3
SDR-204A,06-02255,51463-34976,4
SLR-045,06-02227,95943-99785,4
SLR-045A,06-02210,83830-13524,4
SLR-045B,06-02210,83830-13524,5
SLR-095,06-02289,,5
SWT-019,06-02236,78896-31132,4
SWT-030,06-02195,71447-21450,4
SWT-030I,06-02190,71429-02779,4
SWT-068,06-02192,90754-93796,4
SWT-162,06-02230,40123-54496,4
SWT-233,06-02283,97501-53495,4
SWT-235,06-02239,35176-85532,4
